"Type","Front (English)","Back (German)"
"Einleitung","This refers to your message from [date]","Wir beziehen uns auf Ihre Nachricht vom [Datum]."
"Einleitung","Thank you for your message dated [date]","Vielen Dank für Ihre Nachricht vom [Datum]."
"Einleitung","We are writing in response to your complaint from [date]","Bezugnehmend auf Ihre Beschwerde vom [Datum] möchten wir Folgendes mitteilen:"
"Einleitung","We thank you for your feedback","Wir danken Ihnen für Ihre Rückmeldung."
"Einleitung","We have carefully reviewed your complaint","Wir haben Ihre Beschwerde sorgfältig geprüft."
"Einleitung","We take your concern seriously","Wir nehmen Ihr Anliegen sehr ernst."
"Einleitung","We regret your dissatisfaction","Ihre Unzufriedenheit bedauern wir außerordentlich."
"Einleitung","Thank you for pointing out the issue","Vielen Dank für Ihren Hinweis auf das Problem vom [Datum]."
"Entschuldigung","We apologize for the inconvenience","Für die entstandenen Unannehmlichkeiten möchten wir uns ausdrücklich entschuldigen."
"Entschuldigung","Please accept our sincere apologies for the misunderstanding","Wir bitten vielmals um Entschuldigung für das Missverständnis."
"Entschuldigung","We understand your frustration","Wir verstehen Ihren Ärger über die entstandene Situation."
"Entschuldigung","We are sorry that our service did not meet your expectations","Es tut uns leid, dass unser Service nicht Ihren Erwartungen entsprochen hat."
"Entschuldigung","Sorry for the delay in response","Bitte entschuldigen Sie die verspätete Antwort."
"Erklärung","The delay was caused by [reason]","Die Verzögerung wurde durch [Grund] verursacht."
"Erklärung","The issue was due to an internal error","Aufgrund eines internen Fehlers kam es zu diesem Problem."
"Erklärung","There was a technical error in processing","Leider kam es bei der Bearbeitung zu einem technischen Fehler."
"Erklärung","We are currently investigating the issue","Wir prüfen derzeit die genauen Umstände."
"Erklärung","The problem has already been analyzed","Die Analyse des Problems ist bereits abgeschlossen."
"Lösung","We have taken steps to resolve the issue","Wir haben die nötigen Schritte eingeleitet, um das Problem zu beheben."
"Lösung","As compensation, we offer you [e.g. refund/voucher]","Als Wiedergutmachung bieten wir Ihnen [z. B. eine Rückerstattung/einen Gutschein] an."
"Lösung","We will send you a replacement","Gerne senden wir Ihnen einen Ersatz zu."
"Lösung","The item has already been resent","Wir haben den Artikel bereits erneut versendet."
"Lösung","The responsible department has been informed","Die zuständige Abteilung wurde informiert."
"Verbindlichkeit","We assure you this will not happen again","Wir versichern Ihnen, dass sich ein solcher Vorfall nicht wiederholen wird."
"Verbindlichkeit","We will do everything to prevent future errors","Wir werden alles daransetzen, zukünftige Fehler zu vermeiden."
"Verbindlichkeit","We value your satisfaction","Ihre Zufriedenheit liegt uns am Herzen."
"Verbindlichkeit","We take your suggestion seriously","Wir nehmen Ihre Anregung ernst und prüfen mögliche Verbesserungen."
"Kundenorientierung","We hope to welcome you again as a satisfied customer","Wir hoffen, Sie bald wieder als zufriedenen Kunden begrüßen zu dürfen."
"Kundenorientierung","We appreciate your patience and understanding","Vielen Dank für Ihr Verständnis und Ihre Geduld."
"Kundenorientierung","We thank you for the opportunity to resolve this","Wir danken Ihnen für die Gelegenheit, die Angelegenheit zu klären."
"Kundenorientierung","We are always striving to improve our service","Wir sind stets bemüht, unseren Service zu verbessern."
"Kontakt","If you have any further questions, please contact us","Für Rückfragen stehen wir Ihnen jederzeit gerne zur Verfügung."
"Kontakt","Don't hesitate to get in touch with us","Zögern Sie nicht, sich bei weiteren Fragen mit uns in Verbindung zu setzen."
"Kontakt","You can reach us by phone or email","Sie erreichen uns telefonisch unter [Nummer] oder per E-Mail an [Adresse]."
"Kontakt","We look forward to hearing from you","Wir freuen uns auf Ihre Rückmeldung."
"Schlussformel","Kind regards","Mit freundlichen Grüßen"
"Schlussformel","Best regards","Freundliche Grüße"
"Schlussformel","Yours sincerely (very formal)","Hochachtungsvoll"
